2025-06-26T18:11:01.207663, avg_wind=1.62, samples=132
2025-06-26T18:16:02.612472, avg_wind=1.50, samples=128
2025-06-26T18:21:04.128482, avg_wind=1.51, samples=128
2025-06-26T18:26:05.533809, avg_wind=1.49, samples=128
2025-06-26T18:31:06.955350, avg_wind=1.49, samples=128
2025-06-26T18:36:08.392423, avg_wind=1.18, samples=128
2025-06-26T18:41:09.884647, avg_wind=0.80, samples=128
2025-06-26T18:46:11.343859, avg_wind=0.88, samples=128
2025-06-26T18:51:12.761378, avg_wind=0.80, samples=128
2025-06-26T18:56:14.215652, avg_wind=0.89, samples=128
2025-06-26T19:01:15.641264, avg_wind=0.82, samples=128
2025-06-26T19:06:17.065652, avg_wind=1.27, samples=128
2025-06-26T19:11:18.526562, avg_wind=1.53, samples=128
2025-06-26T19:16:20.006206, avg_wind=0.97, samples=128
2025-06-26T19:21:21.448074, avg_wind=1.48, samples=128
2025-06-26T19:26:22.803062, avg_wind=1.48, samples=128
2025-06-26T19:31:24.252055, avg_wind=1.94, samples=128
2025-06-26T19:36:25.682378, avg_wind=1.51, samples=128
2025-06-26T19:41:27.105142, avg_wind=1.58, samples=128
2025-06-26T19:46:28.530236, avg_wind=1.53, samples=128
2025-06-26T19:51:29.920372, avg_wind=1.70, samples=128
2025-06-26T19:56:31.306302, avg_wind=1.62, samples=128
2025-06-26T20:01:32.758811, avg_wind=1.20, samples=128
2025-06-26T20:06:34.199990, avg_wind=1.10, samples=128
2025-06-26T20:11:35.626319, avg_wind=1.13, samples=128
2025-06-26T20:16:37.088455, avg_wind=1.37, samples=128
2025-06-26T20:21:38.571605, avg_wind=1.17, samples=128
2025-06-26T20:26:40.018088, avg_wind=0.91, samples=128
2025-06-26T20:31:41.447759, avg_wind=0.35, samples=128
2025-06-26T20:36:42.879128, avg_wind=0.14, samples=128
2025-06-26T20:41:44.344761, avg_wind=0.44, samples=128
2025-06-26T20:46:45.789227, avg_wind=0.55, samples=128
2025-06-26T20:51:47.234720, avg_wind=0.12, samples=128
2025-06-26T20:56:48.672920, avg_wind=0.39, samples=128
2025-06-26T21:01:50.067593, avg_wind=0.12, samples=128
2025-06-26T21:06:51.521222, avg_wind=0.00, samples=128
2025-06-26T21:11:52.947425, avg_wind=0.01, samples=128
2025-06-26T21:16:54.405761, avg_wind=0.02, samples=128
2025-06-26T21:21:55.793758, avg_wind=0.00, samples=128
2025-06-26T21:26:57.245477, avg_wind=0.00, samples=128
2025-06-26T21:31:58.646731, avg_wind=0.00, samples=128
2025-06-26T21:37:00.037069, avg_wind=0.00, samples=128
2025-06-26T21:42:01.497600, avg_wind=0.00, samples=128
2025-06-26T21:47:02.853707, avg_wind=0.00, samples=128
2025-06-26T21:52:04.283561, avg_wind=0.00, samples=128
2025-06-26T21:57:05.672137, avg_wind=0.00, samples=128
2025-06-26T22:02:07.106329, avg_wind=0.00, samples=128
2025-06-26T22:07:08.488886, avg_wind=0.00, samples=128
2025-06-26T22:12:09.914857, avg_wind=0.00, samples=128
2025-06-26T22:17:11.293668, avg_wind=0.00, samples=128
2025-06-26T22:22:12.742079, avg_wind=0.00, samples=128
2025-06-26T22:27:14.093109, avg_wind=0.00, samples=128
2025-06-26T22:32:15.492179, avg_wind=0.00, samples=128
2025-06-26T22:37:16.902975, avg_wind=0.00, samples=128
2025-06-26T22:42:18.325519, avg_wind=0.00, samples=128
2025-06-26T22:47:19.660676, avg_wind=0.00, samples=128
2025-06-26T22:52:20.971819, avg_wind=0.00, samples=128
2025-06-26T22:57:22.358186, avg_wind=0.00, samples=128
2025-06-26T23:02:23.694034, avg_wind=0.01, samples=128
2025-06-26T23:07:25.125057, avg_wind=0.01, samples=128
2025-06-26T23:12:26.512628, avg_wind=0.00, samples=128
2025-06-26T23:17:27.895540, avg_wind=0.12, samples=128
2025-06-26T23:22:29.244863, avg_wind=0.05, samples=128
2025-06-26T23:27:30.580333, avg_wind=0.14, samples=128
2025-06-26T23:32:31.961277, avg_wind=0.32, samples=128
2025-06-26T23:37:33.361233, avg_wind=0.04, samples=128
2025-06-26T23:42:34.708810, avg_wind=0.01, samples=128
2025-06-26T23:47:36.019415, avg_wind=0.33, samples=128
2025-06-26T23:52:37.367460, avg_wind=0.09, samples=128
2025-06-26T23:57:38.823119, avg_wind=0.03, samples=128
2025-06-27T00:02:40.245062, avg_wind=0.00, samples=128
2025-06-27T00:07:41.590781, avg_wind=0.00, samples=128
2025-06-27T00:12:43.007980, avg_wind=0.00, samples=128
2025-06-27T00:17:44.347481, avg_wind=0.00, samples=128
2025-06-27T00:22:45.694699, avg_wind=0.00, samples=128
2025-06-27T00:27:46.960275, avg_wind=0.02, samples=128
2025-06-27T00:32:48.368840, avg_wind=0.00, samples=128
2025-06-27T00:37:49.678823, avg_wind=0.00, samples=128
2025-06-27T00:42:50.985361, avg_wind=0.00, samples=128
2025-06-27T00:47:52.353850, avg_wind=0.00, samples=128
2025-06-27T00:52:53.690075, avg_wind=0.00, samples=128
2025-06-27T00:57:55.035399, avg_wind=0.00, samples=128
2025-06-27T01:02:56.357532, avg_wind=0.01, samples=128
2025-06-27T01:07:57.722119, avg_wind=0.02, samples=128
2025-06-27T01:12:59.094701, avg_wind=0.26, samples=128
2025-06-27T01:18:00.485629, avg_wind=0.94, samples=128
2025-06-27T01:23:01.848441, avg_wind=0.30, samples=128
2025-06-27T01:28:03.244871, avg_wind=0.14, samples=128
2025-06-27T01:33:04.620444, avg_wind=0.13, samples=128
2025-06-27T01:38:06.032332, avg_wind=0.08, samples=128
2025-06-27T01:43:07.434796, avg_wind=0.06, samples=128
2025-06-27T01:48:08.822665, avg_wind=0.00, samples=128
2025-06-27T01:53:10.195465, avg_wind=0.00, samples=128
2025-06-27T01:58:11.555130, avg_wind=0.27, samples=128
2025-06-27T02:03:12.888300, avg_wind=0.06, samples=128
2025-06-27T02:08:14.281292, avg_wind=0.04, samples=128
2025-06-27T02:13:15.672105, avg_wind=0.27, samples=128
2025-06-27T02:18:16.975010, avg_wind=0.05, samples=128
2025-06-27T02:23:18.278259, avg_wind=0.00, samples=128
2025-06-27T02:28:19.613372, avg_wind=0.04, samples=128
2025-06-27T02:33:20.985523, avg_wind=0.09, samples=128
2025-06-27T02:38:22.339731, avg_wind=0.00, samples=128
2025-06-27T02:43:23.714866, avg_wind=0.00, samples=128
2025-06-27T02:48:25.088342, avg_wind=0.00, samples=128
2025-06-27T02:53:26.435237, avg_wind=0.00, samples=128
2025-06-27T02:58:27.786097, avg_wind=0.00, samples=128
2025-06-27T03:03:29.092217, avg_wind=0.00, samples=128
2025-06-27T03:08:30.416305, avg_wind=0.00, samples=128
2025-06-27T03:13:31.792650, avg_wind=0.00, samples=128
