2025-07-03T09:01:21.314446, avg_flow=0.0000, samples=1
2025-07-03T09:01:34.127361, avg_flow=0.0000, samples=1
2025-07-03T09:01:47.125027, avg_flow=0.0000, samples=1
2025-07-03T09:01:59.894584, avg_flow=0.0000, samples=1
2025-07-03T09:02:12.572092, avg_flow=0.0000, samples=1
2025-07-03T09:02:25.103659, avg_flow=0.0000, samples=1
2025-07-03T09:02:37.886613, avg_flow=0.0000, samples=1
2025-07-03T09:02:50.667858, avg_flow=0.0000, samples=1
2025-07-03T09:03:03.392517, avg_flow=0.0000, samples=1
2025-07-03T09:03:16.108727, avg_flow=0.0000, samples=1
2025-07-03T09:03:28.859081, avg_flow=0.0000, samples=1
2025-07-03T09:03:41.612549, avg_flow=0.0000, samples=1
2025-07-03T09:03:54.354724, avg_flow=0.0000, samples=1
2025-07-03T09:04:06.832097, avg_flow=0.0000, samples=1
2025-07-03T09:04:19.577706, avg_flow=0.0000, samples=1
2025-07-03T09:04:32.075285, avg_flow=0.0000, samples=1
2025-07-03T09:04:44.571371, avg_flow=0.0000, samples=1
2025-07-03T09:04:57.088290, avg_flow=0.0000, samples=1
2025-07-03T09:05:09.863521, avg_flow=0.0000, samples=1
2025-07-03T09:05:22.585885, avg_flow=0.0000, samples=1
2025-07-03T09:05:35.379866, avg_flow=0.0000, samples=1
2025-07-03T09:05:48.060161, avg_flow=0.0000, samples=1
2025-07-03T09:06:00.579310, avg_flow=0.0000, samples=1
2025-07-03T09:06:13.113769, avg_flow=0.0000, samples=1
2025-07-03T09:06:25.863637, avg_flow=0.0000, samples=1
2025-07-03T09:06:38.308388, avg_flow=0.0000, samples=1
2025-07-03T09:06:50.851764, avg_flow=0.0000, samples=1
2025-07-03T09:07:03.320114, avg_flow=0.0000, samples=1
2025-07-03T09:07:15.836367, avg_flow=0.0000, samples=1
2025-07-03T09:07:28.349849, avg_flow=0.0000, samples=1
2025-07-03T09:07:40.795609, avg_flow=0.0000, samples=1
2025-07-03T09:07:53.309772, avg_flow=0.0000, samples=1
2025-07-03T09:08:06.133911, avg_flow=0.0000, samples=1
2025-07-03T09:08:18.861451, avg_flow=0.0000, samples=1
2025-07-03T09:08:31.680379, avg_flow=0.0000, samples=1
2025-07-03T09:08:44.339433, avg_flow=0.0000, samples=1
2025-07-03T09:08:56.877862, avg_flow=0.0000, samples=1
2025-07-03T09:09:09.592050, avg_flow=0.0000, samples=1
2025-07-03T09:09:22.362104, avg_flow=0.0000, samples=1
2025-07-03T09:09:35.098865, avg_flow=0.0000, samples=1
