2025-07-03T09:01:21.316501, avg_wind=1.40, samples=1
2025-07-03T09:01:34.128229, avg_wind=0.79, samples=1
2025-07-03T09:01:47.125764, avg_wind=0.35, samples=1
2025-07-03T09:01:59.895357, avg_wind=0.44, samples=1
2025-07-03T09:02:12.572912, avg_wind=0.96, samples=1
2025-07-03T09:02:25.104408, avg_wind=0.61, samples=1
2025-07-03T09:02:37.887479, avg_wind=0.09, samples=1
2025-07-03T09:02:50.668916, avg_wind=0.00, samples=1
2025-07-03T09:03:03.393260, avg_wind=0.09, samples=1
2025-07-03T09:03:16.109511, avg_wind=0.70, samples=1
2025-07-03T09:03:28.859883, avg_wind=0.18, samples=1
2025-07-03T09:03:41.613323, avg_wind=0.70, samples=1
2025-07-03T09:03:54.355514, avg_wind=0.09, samples=1
2025-07-03T09:04:06.836344, avg_wind=0.00, samples=1
2025-07-03T09:04:19.578450, avg_wind=0.00, samples=1
2025-07-03T09:04:32.076048, avg_wind=0.35, samples=1
2025-07-03T09:04:44.572111, avg_wind=1.05, samples=1
2025-07-03T09:04:57.089039, avg_wind=0.88, samples=1
2025-07-03T09:05:09.864356, avg_wind=0.00, samples=1
2025-07-03T09:05:22.586950, avg_wind=1.05, samples=1
2025-07-03T09:05:35.380607, avg_wind=1.66, samples=1
2025-07-03T09:05:48.060916, avg_wind=0.44, samples=1
2025-07-03T09:06:00.580079, avg_wind=1.14, samples=1
2025-07-03T09:06:13.114494, avg_wind=0.79, samples=1
2025-07-03T09:06:25.864576, avg_wind=0.53, samples=1
2025-07-03T09:06:38.309162, avg_wind=0.53, samples=1
2025-07-03T09:06:50.852531, avg_wind=0.00, samples=1
2025-07-03T09:07:03.320885, avg_wind=0.00, samples=1
2025-07-03T09:07:15.837466, avg_wind=2.10, samples=1
2025-07-03T09:07:28.350618, avg_wind=1.93, samples=1
2025-07-03T09:07:40.796407, avg_wind=2.62, samples=1
2025-07-03T09:07:53.310370, avg_wind=2.01, samples=1
2025-07-03T09:08:06.134677, avg_wind=1.84, samples=1
2025-07-03T09:08:18.862203, avg_wind=1.66, samples=1
2025-07-03T09:08:31.681127, avg_wind=0.70, samples=1
2025-07-03T09:08:44.340176, avg_wind=1.57, samples=1
2025-07-03T09:08:56.878602, avg_wind=1.84, samples=1
2025-07-03T09:09:09.592827, avg_wind=2.27, samples=1
2025-07-03T09:09:22.366891, avg_wind=1.31, samples=1
2025-07-03T09:09:35.099635, avg_wind=0.79, samples=1
2025-07-03T09:09:47.864782, avg_wind=0.79, samples=1
2025-07-03T09:10:00.652562, avg_wind=0.09, samples=1
2025-07-03T09:10:13.378997, avg_wind=0.00, samples=1
2025-07-03T09:10:26.426695, avg_wind=0.00, samples=1
2025-07-03T09:10:39.087976, avg_wind=0.09, samples=1
2025-07-03T09:10:51.690915, avg_wind=0.96, samples=1
2025-07-03T09:11:04.310054, avg_wind=0.96, samples=1
2025-07-03T09:11:16.872172, avg_wind=0.61, samples=1
2025-07-03T09:11:29.343496, avg_wind=0.61, samples=1
2025-07-03T09:11:41.865283, avg_wind=0.44, samples=1
2025-07-03T09:11:54.579105, avg_wind=0.00, samples=1
2025-07-03T09:12:07.422364, avg_wind=0.53, samples=1
2025-07-03T09:12:20.102931, avg_wind=0.00, samples=1
2025-07-03T09:12:32.853100, avg_wind=1.22, samples=1
2025-07-03T09:12:45.679408, avg_wind=1.14, samples=1
2025-07-03T09:12:58.378520, avg_wind=0.26, samples=1
2025-07-03T09:13:10.837658, avg_wind=0.61, samples=1
2025-07-03T09:13:23.312362, avg_wind=0.35, samples=1
2025-07-03T09:13:35.825468, avg_wind=0.00, samples=1
2025-07-03T09:13:48.604339, avg_wind=0.00, samples=1
2025-07-03T09:14:01.625997, avg_wind=0.26, samples=1
2025-07-03T09:14:14.627124, avg_wind=0.61, samples=1
2025-07-03T09:14:27.339786, avg_wind=0.35, samples=1
2025-07-03T09:14:40.148957, avg_wind=0.44, samples=1
2025-07-03T09:14:52.834532, avg_wind=0.09, samples=1
2025-07-03T09:15:09.781034, avg_wind=0.61, samples=1
2025-07-03T09:15:22.372927, avg_wind=0.00, samples=1
2025-07-03T09:15:35.109383, avg_wind=0.00, samples=1
2025-07-03T09:15:47.822602, avg_wind=0.88, samples=1
2025-07-03T09:16:00.402034, avg_wind=0.53, samples=1
2025-07-03T09:16:13.066217, avg_wind=0.00, samples=1
2025-07-03T09:16:25.617127, avg_wind=0.00, samples=1
2025-07-03T09:16:38.409751, avg_wind=0.00, samples=1
2025-07-03T09:16:51.111389, avg_wind=0.96, samples=1
2025-07-03T09:17:03.855295, avg_wind=0.26, samples=1
2025-07-03T09:17:16.396065, avg_wind=0.61, samples=1
2025-07-03T09:17:29.106143, avg_wind=0.09, samples=1
2025-07-03T09:17:41.614349, avg_wind=1.84, samples=1
2025-07-03T09:17:54.403131, avg_wind=0.70, samples=1
2025-07-03T09:18:07.072212, avg_wind=1.05, samples=1
2025-07-03T09:18:19.594674, avg_wind=1.05, samples=1
2025-07-03T09:18:32.174507, avg_wind=0.61, samples=1
2025-07-03T09:18:44.879007, avg_wind=0.35, samples=1
2025-07-03T09:18:57.599900, avg_wind=0.35, samples=1
2025-07-03T09:19:10.417173, avg_wind=0.00, samples=1
2025-07-03T09:19:23.082788, avg_wind=0.18, samples=1
2025-07-03T09:19:35.611839, avg_wind=0.09, samples=1
2025-07-03T09:19:48.365902, avg_wind=1.05, samples=1
