[MQTT][2025-07-04 03:45:13] Unexpected MQTT disconnect (rc=16), reconnecting...
[MQTT][2025-07-04 03:45:18] MQTT connect error: timed out
[MQTT][2025-07-04 03:45:20] MQTT connect error: timed out
[MQTT][2025-07-04 03:45:20] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:45:25] MQTT connect error: timed out
[MQTT][2025-07-04 03:45:25] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:45:32] MQTT connect error: timed out
[MQTT][2025-07-04 03:45:32] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:45:37] MQTT connect error: timed out
[MQTT][2025-07-04 03:45:37] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:45:44] MQTT connect error: timed out
[MQTT][2025-07-04 03:45:44] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:45:49] MQTT connect error: timed out
[MQTT][2025-07-04 03:45:49] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:46:03] MQTT connect error: timed out
[MQTT][2025-07-04 03:46:03] MQTT publish failed: rc=4, topic=sensors/plant
[MQTT][2025-07-04 03:46:10] MQTT connect error: timed out
[MQTT][2025-07-04 03:46:10] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:46:15] MQTT connect error: timed out
[MQTT][2025-07-04 03:46:15] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:46:23] MQTT connect error: timed out
[MQTT][2025-07-04 03:46:23] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:46:28] MQTT connect error: timed out
[MQTT][2025-07-04 03:46:28] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:46:35] MQTT connect error: timed out
[MQTT][2025-07-04 03:46:35] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:46:40] MQTT connect error: timed out
[MQTT][2025-07-04 03:46:40] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:46:47] MQTT connect error: timed out
[MQTT][2025-07-04 03:46:47] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:46:52] MQTT connect error: timed out
[MQTT][2025-07-04 03:46:52] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:46:59] MQTT connect error: timed out
[MQTT][2025-07-04 03:46:59] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:47:04] MQTT connect error: timed out
[MQTT][2025-07-04 03:47:04] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:47:12] MQTT connect error: timed out
[MQTT][2025-07-04 03:47:12] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:47:17] MQTT connect error: timed out
[MQTT][2025-07-04 03:47:17] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:47:24] MQTT connect error: timed out
[MQTT][2025-07-04 03:47:24] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:47:29] MQTT connect error: timed out
[MQTT][2025-07-04 03:47:29] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:47:36] MQTT connect error: timed out
[MQTT][2025-07-04 03:47:36] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:47:41] MQTT connect error: timed out
[MQTT][2025-07-04 03:47:41] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:47:49] MQTT connect error: timed out
[MQTT][2025-07-04 03:47:49] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:47:54] MQTT connect error: timed out
[MQTT][2025-07-04 03:47:54] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:48:01] MQTT connect error: timed out
[MQTT][2025-07-04 03:48:01] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:48:06] MQTT connect error: timed out
[MQTT][2025-07-04 03:48:06] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:48:13] MQTT connect error: timed out
[MQTT][2025-07-04 03:48:13] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:48:19] MQTT connect error: timed out
[MQTT][2025-07-04 03:48:19] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:48:26] MQTT connect error: timed out
[MQTT][2025-07-04 03:48:26] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:48:31] MQTT connect error: timed out
[MQTT][2025-07-04 03:48:31] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:48:38] MQTT connect error: timed out
[MQTT][2025-07-04 03:48:38] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:48:43] MQTT connect error: timed out
[MQTT][2025-07-04 03:48:43] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:48:50] MQTT connect error: timed out
[MQTT][2025-07-04 03:48:50] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:48:55] MQTT connect error: timed out
[MQTT][2025-07-04 03:48:55] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:49:03] MQTT connect error: timed out
[MQTT][2025-07-04 03:49:03] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:49:08] MQTT connect error: timed out
[MQTT][2025-07-04 03:49:08] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:49:15] MQTT connect error: timed out
[MQTT][2025-07-04 03:49:15] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:49:20] MQTT connect error: timed out
[MQTT][2025-07-04 03:49:20] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:49:27] MQTT connect error: timed out
[MQTT][2025-07-04 03:49:27] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:49:32] MQTT connect error: timed out
[MQTT][2025-07-04 03:49:32] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:49:40] MQTT connect error: timed out
[MQTT][2025-07-04 03:49:40] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:49:45] MQTT connect error: timed out
[MQTT][2025-07-04 03:49:45] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:49:52] MQTT connect error: timed out
[MQTT][2025-07-04 03:49:52] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:49:57] MQTT connect error: timed out
[MQTT][2025-07-04 03:49:57] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:50:04] MQTT connect error: timed out
[MQTT][2025-07-04 03:50:04] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:50:09] MQTT connect error: timed out
[MQTT][2025-07-04 03:50:09] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:50:17] MQTT connect error: timed out
[MQTT][2025-07-04 03:50:17] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:50:22] MQTT connect error: timed out
[MQTT][2025-07-04 03:50:22] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:50:29] MQTT connect error: timed out
[MQTT][2025-07-04 03:50:29] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:50:34] MQTT connect error: timed out
[MQTT][2025-07-04 03:50:34] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:50:42] MQTT connect error: timed out
[MQTT][2025-07-04 03:50:42] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:50:47] MQTT connect error: timed out
[MQTT][2025-07-04 03:50:47] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:50:54] MQTT connect error: timed out
[MQTT][2025-07-04 03:50:54] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:50:59] MQTT connect error: timed out
[MQTT][2025-07-04 03:50:59] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:51:12] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:12] MQTT publish failed: rc=4, topic=sensors/plant
[MQTT][2025-07-04 03:51:20] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:20] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:51:25] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:25] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:51:32] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:32] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:51:37] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:37] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:51:44] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:44] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:51:49] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:49] MQTT publish failed: rc=4, topic=sensors/environment
